route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L5D99,165,54937,"Vozovna Pisárky",1,,0,0
L5D99,165,54938,"Štefánikova čtvrť",2,,1,0
L5D99,165,54939,"Ústřední hřbitov - smyčka",2,,0,0
L5D99,165,54940,"Štefánikova čtvrť",2,,1,0
L5D99,165,54941,"Ústřední hřbitov - smyčka",2,,0,0
L5D99,165,54942,"Štefánikova čtvrť",2,,1,0
L5D99,165,54943,"Ústřední hřbitov - smyčka",2,,0,0
L5D99,165,54944,"Štefánikova čtvrť",2,,1,0
L5D99,165,54945,"Ústřední hřbitov - smyčka",2,,0,0
L5D99,165,54946,"Štefánikova čtvrť",2,,1,0
L5D99,165,54947,"Ústřední hřbitov - smyčka",2,,0,0
L5D99,165,54948,"Štefánikova čtvrť",2,,1,0
L5D99,165,54949,"Ústřední hřbitov - smyčka",2,,0,0
L5D99,165,54950,"Štefánikova čtvrť",2,,1,0
L5D99,165,54951,"Ústřední hřbitov - smyčka",2,,0,0
L5D99,165,54952,"Štefánikova čtvrť",2,,1,0
L5D99,165,54953,"Ústřední hřbitov - smyčka",2,,0,0
L5D99,165,54954,"Štefánikova čtvrť",2,,1,0
L5D99,165,54955,"Ústřední hřbitov - smyčka",2,,0,0
L5D99,165,54956,"Štefánikova čtvrť",2,,1,0
L5D99,165,54957,"Vozovna Pisárky",2,,0,0
L5D99,165,54958,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54959,"Štefánikova čtvrť",1,,1,0
L5D99,165,54960,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54961,"Štefánikova čtvrť",1,,1,0
L5D99,165,54962,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54963,"Štefánikova čtvrť",1,,1,0
L5D99,165,54964,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54965,"Štefánikova čtvrť",1,,1,0
L5D99,165,54966,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54967,"Štefánikova čtvrť",1,,1,0
L5D99,165,54968,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54969,"Štefánikova čtvrť",1,,1,0
L5D99,165,54970,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54971,"Štefánikova čtvrť",1,,1,0
L5D99,165,54972,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54973,"Štefánikova čtvrť",1,,1,0
L5D99,165,54974,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54975,"Štefánikova čtvrť",1,,1,0
L5D99,165,54976,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54977,"Štefánikova čtvrť",1,,1,0
L5D99,165,54978,"Vozovna Pisárky",1,,0,0
L5D99,165,54979,"Štefánikova čtvrť",1,,1,0
L5D99,165,54980,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54981,"Štefánikova čtvrť",1,,1,0
L5D99,165,54982,"Mendlovo náměstí",1,,0,0
L5D99,165,54983,"Štefánikova čtvrť",1,,1,0
L5D99,165,54984,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,54985,"Štefánikova čtvrť",1,,1,0
L5D99,165,54986,"Mendlovo náměstí",1,,0,0
L5D99,165,54987,"Štefánikova čtvrť",1,,1,0
L5D99,165,54988,"Mendlovo náměstí",1,,0,0
L5D99,165,54989,"Štefánikova čtvrť",1,,1,0
L5D99,165,54990,"Mendlovo náměstí",1,,0,0
L5D99,165,54991,"Štefánikova čtvrť",1,,1,0
L5D99,165,54992,"Mendlovo náměstí",1,,0,0
L5D99,165,54993,"Štefánikova čtvrť",1,,1,0
L5D99,165,54994,"Mendlovo náměstí",1,,0,0
L5D99,165,54995,"Štefánikova čtvrť",1,,1,0
L5D99,165,54996,"Mendlovo náměstí",1,,0,0
L5D99,165,54997,"Štefánikova čtvrť",1,,1,0
L5D99,165,54998,"Mendlovo náměstí",1,,0,0
L5D99,165,54999,"Štefánikova čtvrť",1,,1,0
L5D99,165,55000,"Mendlovo náměstí",1,,0,0
L5D99,165,55001,"Štefánikova čtvrť",1,,1,0
L5D99,165,55002,"Mendlovo náměstí",1,,0,0
L5D99,165,55003,"Štefánikova čtvrť",1,,1,0
L5D99,165,55004,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,55005,"Štefánikova čtvrť",1,,1,0
L5D99,165,55006,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,55007,"Štefánikova čtvrť",1,,1,0
L3D99,165,55008,"Rakovecká",1,,0,0
L3D99,165,55009,"Stará osada",1,,1,0
L3D99,165,55010,"Ečerova",1,,0,0
L5D99,165,55011,"Štefánikova čtvrť",1,,1,0
L5D99,165,55012,"Mendlovo náměstí",1,,0,0
L5D99,165,55013,"Štefánikova čtvrť",1,,1,0
L5D99,165,55014,"Mendlovo náměstí",1,,0,0
L5D99,165,55015,"Štefánikova čtvrť",1,,1,0
L5D99,165,55016,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,55017,"Štefánikova čtvrť",1,,1,0
L5D99,165,55018,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,55019,"Štefánikova čtvrť",1,,1,0
L5D99,165,55020,"Mendlovo náměstí",1,,0,0
L5D99,165,55021,"Štefánikova čtvrť",1,,1,0
L5D99,165,55022,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,55023,"Štefánikova čtvrť",1,,1,0
L5D99,165,55024,"Mendlovo náměstí",1,,0,0
L5D99,165,55025,"Štefánikova čtvrť",1,,1,0
L5D99,165,55026,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,55027,"Štefánikova čtvrť",1,,1,0
L5D99,165,55028,"Vozovna Pisárky",1,,0,0
L5D99,165,55029,"Štefánikova čtvrť",1,,1,0
L5D99,165,55030,"Mendlovo náměstí",1,,0,0
L5D99,165,55031,"Štefánikova čtvrť",1,,1,0
L5D99,165,55032,"Mendlovo náměstí",1,,0,0
L5D99,165,55033,"Štefánikova čtvrť",1,,1,0
L5D99,165,55034,"Mendlovo náměstí",1,,0,0
L5D99,165,55035,"Štefánikova čtvrť",1,,1,0
L5D99,165,55036,"Mendlovo náměstí",1,,0,0
L5D99,165,55037,"Štefánikova čtvrť",1,,1,0
L5D99,165,55038,"Mendlovo náměstí",1,,0,0
L5D99,165,55039,"Štefánikova čtvrť",1,,1,0
L5D99,165,55040,"Mendlovo náměstí",1,,0,0
L5D99,165,55041,"Štefánikova čtvrť",1,,1,0
L5D99,165,55042,"Mendlovo náměstí",1,,0,0
L5D99,165,55043,"Štefánikova čtvrť",1,,1,0
L5D99,165,55044,"Mendlovo náměstí",1,,0,0
L5D99,165,55045,"Štefánikova čtvrť",1,,1,0
L5D99,165,55046,"Mendlovo náměstí",1,,0,0
L5D99,165,55047,"Štefánikova čtvrť",1,,1,0
L5D99,165,55048,"Mendlovo náměstí",1,,0,0
L5D99,165,55049,"Štefánikova čtvrť",1,,1,0
L5D99,165,55050,"Mendlovo náměstí",1,,0,0
L5D99,165,55051,"Štefánikova čtvrť",1,,1,0
L5D99,165,55052,"Mendlovo náměstí",1,,0,0
L5D99,165,55053,"Štefánikova čtvrť",1,,1,0
L5D99,165,55054,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,55055,"Štefánikova čtvrť",1,,1,0
L5D99,165,55056,"Ústřední hřbitov - smyčka",1,,0,0
L5D99,165,55057,"Štefánikova čtvrť",1,,1,0
L5D99,165,55058,"Mendlovo náměstí",1,,0,0
L5D99,165,55059,"Štefánikova čtvrť",1,,1,0
L5D99,165,55060,"Mendlovo náměstí",1,,0,0
L5D99,165,55061,"Štefánikova čtvrť",1,,1,0
L5D99,165,55062,"Vozovna Pisárky",1,,0,0
L6D99,165,55063,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55064,"Královo Pole, nádraží",1,,1,0
L6D99,165,55065,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55066,"Královo Pole, nádraží",1,,1,0
L6D99,165,55067,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55068,"Královo Pole, nádraží",1,,1,0
L6D99,165,55069,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55070,"Královo Pole, nádraží",1,,1,0
L6D99,165,55071,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55072,"Královo Pole, nádraží",1,,1,0
L6D99,165,55073,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55074,"Královo Pole, nádraží",1,,1,0
L6D99,165,55075,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55076,"Královo Pole, nádraží",1,,1,0
L6D99,165,55077,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55078,"Královo Pole, nádraží",1,,1,0
L6D99,165,55079,"Starý Lískovec, smyčka",1,,0,0
L6D99,165,55080,"Královo Pole, nádraží",1,,1,0
L6D99,165,55081,"Starý Lískovec, smyčka",1,,0,0
